"","rank","team","value","year","value_change","debt_percent","revenue","operating_income","player_expense","gate_receipt","comments"
"471",23,"Nashville Predators","164",2008,14,49,70,-1.3,NA,NA,NA
"508",25,"Nashville Predators","163",2011,10,52,82,-7.5,NA,NA,NA
"509",25,"Nashville Predators","167",2012,2,51,88,-3.4,NA,NA,NA
"535",27,"Nashville Predators","101",2004,-24,40,46,-3,NA,NA,NA
"536",27,"Nashville Predators","134",2006,21,28,61,-1.1,NA,NA,NA
"537",27,"Nashville Predators","148",2010,-5,55,74,-5.5,NA,NA,NA
"538",27,"Nashville Predators","156",2009,-5,52,71,-5.7,NA,NA,NA
"570",30,"Nashville Predators","143",2007,7,26,65,-9.4,NA,NA,NA
"158",8,"Montreal Canadiens ","195",2005,15,41,90,7.5,NA,NA,NA
"8",1,"Montreal Canadiens","59.2",1991,NA,NA,NA,NA,NA,NA,NA
"51",3,"Montreal Canadiens","334",2008,18,72,139,39.6,NA,NA,NA
"52",3,"Montreal Canadiens","339",2009,2,71,130,31.3,NA,NA,NA
"53",3,"Montreal Canadiens","408",2010,20,70,163,53.1,NA,NA,NA
"54",3,"Montreal Canadiens","445",2011,9,65,165,47.7,NA,NA,NA
"55",3,"Montreal Canadiens","575",2012,29,50,169,51.6,NA,NA,NA
"56",3,"Montreal Canadiens","62",1992,NA,NA,NA,NA,NA,NA,NA
"80",4,"Montreal Canadiens","283",2007,23,85,109,25.2,NA,NA,NA
"81",4,"Montreal Canadiens","73",1993,NA,NA,NA,NA,NA,NA,NA
"82",4,"Montreal Canadiens","82",1994,NA,NA,NA,NA,NA,NA,NA
"121",6,"Montreal Canadiens","175.2",2000,NA,NA,NA,NA,NA,NA,NA
"139",7,"Montreal Canadiens","167",1999,NA,NA,61.8,8.3,NA,NA,NA
"140",7,"Montreal Canadiens","230",2006,18,104,90,17.5,NA,NA,NA
"156",8,"Montreal Canadiens","191",2001,9,22,73.5,12.7,36,25.7,"Team being neglected by management as Molson prepares to sell."
"157",8,"Montreal Canadiens","86",1995,NA,NA,NA,NA,NA,NA,NA
"178",9,"Montreal Canadiens","86",1996,NA,NA,NA,NA,NA,NA,NA
"199",10,"Montreal Canadiens","170",2004,-9,47,71,-5,NA,NA,NA
"200",10,"Montreal Canadiens","182",2002,-5,11,70,12.2,32.8,NA,NA
"201",10,"Montreal Canadiens","187",2003,3,32,75,6.4,NA,NA,NA
"216",11,"Montreal Canadiens","95",1997,NA,NA,NA,NA,NA,NA,NA
"215",11,"Minnesota Wild ","163",2005,-2,78,71,11.5,NA,NA,NA
"213",11,"Minnesota Wild","166",2004,20,71,79,20,NA,NA,NA
"214",11,"Minnesota Wild","217",2008,21,52,94,0.7,NA,NA,NA
"242",12,"Minnesota Wild","210",2009,-3,54,95,1.3,NA,NA,NA
"257",13,"Minnesota Wild","163",2006,0,79,71,4.7,NA,NA,NA
"281",14,"Minnesota Wild","202",2010,-4,56,92,-2.3,NA,NA,NA
"282",14,"Minnesota Wild","213",2011,5,53,97,-5.9,NA,NA,NA
"304",15,"Minnesota Wild","180",2007,10,71,78,-1.7,NA,NA,NA
"342",17,"Minnesota Wild","139",2003,3,113,61,12.1,NA,NA,NA
"343",17,"Minnesota Wild","218",2012,2,52,99,-3.9,NA,NA,NA
"363",18,"Minnesota Wild","135",2002,NA,56,56,11.1,18.4,NA,NA
"408",20,"Minnesota North Stars","30",1991,NA,NA,NA,NA,NA,NA,NA
"409",20,"Minnesota North Stars","34",1992,NA,NA,NA,NA,NA,NA,NA
"431",21,"Minnesota North Stars","42",1993,NA,NA,NA,NA,NA,NA,NA
"506",25,"Mighty Ducks of Anaheim ","108",2005,-3,0,54,-22.4,NA,NA,NA
"507",25,"Mighty Ducks of Anaheim ","111",2003,-6,0,48,-13.7,NA,NA,NA
"341",17,"Mighty Ducks of Anaheim","117.2",2000,NA,NA,NA,NA,NA,NA,NA
"407",20,"Mighty Ducks of Anaheim","116",2001,-1,0,48.1,-7.5,38.4,20.3,"Team has decent lease, but attendance has been trending downward."
"450",22,"Mighty Ducks of Anaheim","118",2002,2,0,49,-5.5,37.9,NA,NA
"489",24,"Mighty Ducks of Anaheim","112",2004,0,0,59,-11,NA,NA,NA
"177",9,"Los Angeles Kings ","193",2005,5,69,80,-5.3,NA,NA,NA
"50",3,"Los Angeles Kings","85",1994,NA,NA,NA,NA,NA,NA,NA
"96",5,"Los Angeles Kings","71",1993,NA,NA,NA,NA,NA,NA,NA
"120",6,"Los Angeles Kings","60",1992,NA,NA,NA,NA,NA,NA,NA
"173",9,"Los Angeles Kings","183",2004,-11,72,78,2,NA,NA,NA
"174",9,"Los Angeles Kings","189",2002,18,65,73,3.4,37.7,NA,NA
"175",9,"Los Angeles Kings","205",2003,8,64,81,7.1,NA,NA,NA
"176",9,"Los Angeles Kings","205",2006,6,96,82,7.1,NA,NA,NA
"193",10,"Los Angeles Kings","209",2007,2,91,84,2,NA,NA,NA
"194",10,"Los Angeles Kings","232",2011,8,66,101,-2,NA,NA,NA
"195",10,"Los Angeles Kings","276",2012,19,51,120,1.8,NA,NA,NA
"196",10,"Los Angeles Kings","45",1991,NA,NA,NA,NA,NA,NA,NA
"197",10,"Los Angeles Kings","78",1996,NA,NA,NA,NA,NA,NA,NA
"198",10,"Los Angeles Kings","81",1995,NA,NA,NA,NA,NA,NA,NA
"212",11,"Los Angeles Kings","160",2001,47,78,63.9,8.4,36.6,21,"Anschutz owns majority of L.A. Kings, 30% of Lakers and controls arena."
"240",12,"Los Angeles Kings","210",2008,0,87,91,1.2,NA,NA,NA
"241",12,"Los Angeles Kings","215",2010,3,76,98,0.7,NA,NA,NA
"256",13,"Los Angeles Kings","208",2009,-1,79,92,10.6,NA,NA,NA
"280",14,"Los Angeles Kings","83",1997,NA,NA,NA,NA,NA,NA,NA
"340",17,"Los Angeles Kings","104",1999,NA,229,38.5,-1,NA,NA,NA
"387",19,"Los Angeles Kings","108.8",2000,NA,NA,NA,NA,NA,NA,NA
"138",7,"Hartford Whalers","45.4",1991,NA,NA,NA,NA,NA,NA,NA
"239",12,"Hartford Whalers","49",1992,NA,NA,NA,NA,NA,NA,NA
"303",15,"Hartford Whalers","48",1993,NA,NA,NA,NA,NA,NA,NA
"406",20,"Hartford Whalers","46",1994,NA,NA,NA,NA,NA,NA,NA
"488",24,"Hartford Whalers","43",1995,NA,NA,NA,NA,NA,NA,NA
"504",25,"Hartford Whalers","40",1996,NA,NA,NA,NA,NA,NA,NA
"505",25,"Hartford Whalers","48",1997,NA,NA,NA,NA,NA,NA,NA
"430",21,"Florida Panthers ","121",2005,7,33,60,-3.7,NA,NA,NA
"137",7,"Florida Panthers","161.5",2000,NA,NA,NA,NA,NA,NA,NA
"238",12,"Florida Panthers","147",2001,-9,24,64,0.2,35.9,20,"Team has management contract for new arena. But highly competitive market."
"320",16,"Florida Panthers","105",1999,NA,33,32.7,-9.3,NA,NA,NA
"405",20,"Florida Panthers","67",1997,NA,NA,NA,NA,NA,NA,NA
"448",22,"Florida Panthers","127",2003,10,40,67,-6.5,NA,NA,NA
"449",22,"Florida Panthers","168",2010,6,57,76,-9.6,NA,NA,NA
"466",23,"Florida Panthers","113",2004,-11,44,57,-9,NA,NA,NA
"467",23,"Florida Panthers","142",2006,18,35,65,-1.9,NA,NA,NA
"468",23,"Florida Panthers","151",2007,6,33,67,-7.1,NA,NA,NA
"469",23,"Florida Panthers","45",1996,NA,NA,NA,NA,NA,NA,NA
"470",23,"Florida Panthers","47",1995,NA,NA,NA,NA,NA,NA,NA
"485",24,"Florida Panthers","115",2002,-22,43,64,-3.2,38,NA,NA
"486",24,"Florida Panthers","163",2008,8,49,74,-9.4,NA,NA,NA
"487",24,"Florida Panthers","170",2012,5,59,87,-12,NA,NA,NA
"523",26,"Florida Panthers","159",2009,-2,50,74,-13.6,NA,NA,NA
"524",26,"Florida Panthers","162",2011,-4,59,81,-7,NA,NA,NA
"534",27,"Edmonton Oilers ","104",2005,14,19,55,3.3,NA,NA,NA
"119",6,"Edmonton Oilers","51.6",1991,NA,NA,NA,NA,NA,NA,NA
"155",8,"Edmonton Oilers","55",1992,NA,NA,NA,NA,NA,NA,NA
"278",14,"Edmonton Oilers","225",2012,6,44,106,16.2,NA,NA,NA
"279",14,"Edmonton Oilers","51",1993,NA,NA,NA,NA,NA,NA,NA
"302",15,"Edmonton Oilers","212",2011,16,47,96,17.3,NA,NA,NA
"385",19,"Edmonton Oilers","146",2006,40,19,75,10.7,NA,NA,NA
"386",19,"Edmonton Oilers","46",1994,NA,NA,NA,NA,NA,NA,NA
"402",20,"Edmonton Oilers","157",2007,8,19,71,9.9,NA,NA,NA
"403",20,"Edmonton Oilers","175",2008,11,0,85,11.8,NA,NA,NA
"404",20,"Edmonton Oilers","183",2010,10,55,87,8.2,NA,NA,NA
"482",24,"Edmonton Oilers","166",2009,-5,60,83,9.4,NA,NA,NA
"483",24,"Edmonton Oilers","42",1996,NA,NA,NA,NA,NA,NA,NA
"484",24,"Edmonton Oilers","52",1997,NA,NA,NA,NA,NA,NA,NA
"503",25,"Edmonton Oilers","42",1995,NA,NA,NA,NA,NA,NA,NA
"521",26,"Edmonton Oilers","67",1999,NA,67,33.6,2.3,NA,NA,NA
"522",26,"Edmonton Oilers","72.6",2000,NA,NA,NA,NA,NA,NA,NA
"551",28,"Edmonton Oilers","77",2001,6,59,40.4,3.6,25.2,13.2,"Team poorly capitalized and badly in need of new arena."
"561",29,"Edmonton Oilers","81",2002,5,56,43,2.5,28.8,NA,NA
"568",30,"Edmonton Oilers","86",2003,7,37,43,-0.8,NA,NA,NA
"569",30,"Edmonton Oilers","91",2004,5,35,48,0,NA,NA,NA
"95",5,"Detroit Red Wings ","248",2005,1,25,97,-16.4,NA,NA,NA
"2",1,"Detroit Red Wings","104",1994,NA,NA,NA,NA,NA,NA,NA
"3",1,"Detroit Red Wings","124",1995,NA,NA,NA,NA,NA,NA,NA
"4",1,"Detroit Red Wings","126",1996,NA,NA,NA,NA,NA,NA,NA
"5",1,"Detroit Red Wings","266",2003,0.18,0.17,114,-3.4,NA,NA,NA
"6",1,"Detroit Red Wings","70",1992,NA,NA,NA,NA,NA,NA,NA
"7",1,"Detroit Red Wings","87",1993,NA,NA,NA,NA,NA,NA,NA
"46",3,"Detroit Red Wings","146",1997,NA,NA,NA,NA,NA,NA,NA
"47",3,"Detroit Red Wings","218",2001,12,0,80.7,2,48.9,40.6,"Team has management contract for Joe Louis Arena."
"48",3,"Detroit Red Wings","258",2006,4,35,89,5.8,NA,NA,NA
"49",3,"Detroit Red Wings","293",2007,14,31,109,14.4,NA,NA,NA
"74",4,"Detroit Red Wings","184",1999,NA,0,80.1,-1.9,NA,NA,NA
"75",4,"Detroit Red Wings","194.6",2000,NA,NA,NA,NA,NA,NA,NA
"76",4,"Detroit Red Wings","303",2008,3,0,110,13.4,NA,NA,NA
"77",4,"Detroit Red Wings","315",2010,-6,0,119,15.3,NA,NA,NA
"78",4,"Detroit Red Wings","336",2011,7,0,127,16.3,NA,NA,NA
"79",4,"Detroit Red Wings","337",2009,11,0,130,27.4,NA,NA,NA
"93",5,"Detroit Red Wings","225",2002,3,20,83,-6.4,56.3,NA,NA
"94",5,"Detroit Red Wings","245",2004,-8,25,89,-14,NA,NA,NA
"118",6,"Detroit Red Wings","346",2012,3,0,128,20.8,NA,NA,NA
"237",12,"Detroit Red Wings","43.7",1991,NA,NA,NA,NA,NA,NA,NA
"73",4,"Dallas Stars ","259",2005,-4,57,103,-0.3,NA,NA,NA
"28",2,"Dallas Stars","270",2004,7,55,108,6,NA,NA,NA
"71",4,"Dallas Stars","248",2006,-4,81,89,10,NA,NA,NA
"72",4,"Dallas Stars","254",2003,23,54,96,6.3,NA,NA,NA
"92",5,"Dallas Stars","254",2007,2,79,91,10.5,NA,NA,NA
"117",6,"Dallas Stars","273",2008,8,73,105,14.2,NA,NA,NA
"136",7,"Dallas Stars","207",2002,14,51,70,-4.3,52.9,NA,NA
"154",8,"Dallas Stars","246",2009,-10,81,97,12.4,NA,NA,NA
"172",9,"Dallas Stars","182",2001,22,59,72.7,2.1,46.4,48.7,"Moving into highly leveraged arena with Mavericks in 2001 season."
"191",10,"Dallas Stars","149.2",2000,NA,NA,NA,NA,NA,NA,NA
"192",10,"Dallas Stars","227",2010,-8,88,95,6.4,NA,NA,NA
"211",11,"Dallas Stars","230",2011,1,126,90,-1.1,NA,NA,NA
"236",12,"Dallas Stars","118",1999,NA,76,45.6,-2.6,NA,NA,NA
"255",13,"Dallas Stars","240",2012,4,62,100,3,NA,NA,NA
"401",20,"Dallas Stars","53",1996,NA,NA,NA,NA,NA,NA,NA
"428",21,"Dallas Stars","46",1994,NA,NA,NA,NA,NA,NA,NA
"429",21,"Dallas Stars","50",1995,NA,NA,NA,NA,NA,NA,NA
"465",23,"Dallas Stars","63",1997,NA,NA,NA,NA,NA,NA,NA
"339",17,"Columbus Blue Jackets ","139",2005,-4,32,66,0.9,NA,NA,NA
"277",14,"Columbus Blue Jackets","150",2003,3,27,64,6,NA,NA,NA
"301",15,"Columbus Blue Jackets","144",2004,-4,31,66,4,NA,NA,NA
"319",16,"Columbus Blue Jackets","145",2002,NA,28,60,11.3,24.4,NA,NA
"481",24,"Columbus Blue Jackets","150",2007,8,30,68,-5.6,NA,NA,NA
"500",25,"Columbus Blue Jackets","139",2006,0,32,66,-4,NA,NA,NA
"501",25,"Columbus Blue Jackets","153",2010,-7,29,76,-7.3,NA,NA,NA
"502",25,"Columbus Blue Jackets","165",2009,5,27,77,-9.9,NA,NA,NA
"548",28,"Columbus Blue Jackets","145",2012,-5,69,85,-18.7,NA,NA,NA
"549",28,"Columbus Blue Jackets","152",2011,-1,66,80,-13.7,NA,NA,NA
"550",28,"Columbus Blue Jackets","157",2008,4,29,71,-7.1,NA,NA,NA
"116",6,"Colorado Avalanche ","246",2005,7,21,99,-1.1,NA,NA,NA
"45",3,"Colorado Avalanche","243",2002,23,28,93,5.9,53.5,NA,NA
"91",5,"Colorado Avalanche","250",2003,3,23,93,5.2,NA,NA,NA
"114",6,"Colorado Avalanche","198",2001,23,34,82.3,3.4,49.7,43.2,"Owner of Avalanche and Nuggets owns Pepsi Center."
"115",6,"Colorado Avalanche","229",2004,-8,23,88,-4,NA,NA,NA
"151",8,"Colorado Avalanche","161",2000,NA,NA,NA,NA,NA,NA,NA
"152",8,"Colorado Avalanche","214",2007,-3,24,79,6.6,NA,NA,NA
"153",8,"Colorado Avalanche","219",2006,-11,25,81,5.9,NA,NA,NA
"170",9,"Colorado Avalanche","138",1999,NA,51,53.2,-6.9,NA,NA,NA
"171",9,"Colorado Avalanche","231",2008,8,21,91,2.3,NA,NA,NA
"298",15,"Colorado Avalanche","198",2010,-4,15,82,2.3,NA,NA,NA
"299",15,"Colorado Avalanche","205",2009,-11,16,84,3.4,NA,NA,NA
"300",15,"Colorado Avalanche","81",1997,NA,NA,NA,NA,NA,NA,NA
"361",18,"Colorado Avalanche","198",2011,0,12,83,6.1,NA,NA,NA
"362",18,"Colorado Avalanche","210",2012,6,11,91,4.5,NA,NA,NA
"447",22,"Colorado Avalanche","47",1996,NA,NA,NA,NA,NA,NA,NA
"190",10,"Chicago Blackhawks ","178",2005,-7,0,71,9.4,NA,NA,NA
"1",1,"Chicago Blackhawks","151",1997,NA,NA,NA,NA,NA,NA,NA
"27",2,"Chicago Blackhawks","122",1996,NA,NA,NA,NA,NA,NA,NA
"70",4,"Chicago Blackhawks","350",2012,14,0,125,20.5,NA,NA,NA
"90",5,"Chicago Blackhawks","184.1",2000,NA,NA,NA,NA,NA,NA,NA
"112",6,"Chicago Blackhawks","170",1999,NA,0,63.1,13.6,NA,NA,NA
"113",6,"Chicago Blackhawks","306",2011,2,0,118,8.7,NA,NA,NA
"133",7,"Chicago Blackhawks","197",2001,7,0,70.4,12.4,32.8,17.4,"Black Hawks and Bulls each own half of United Center."
"134",7,"Chicago Blackhawks","258",2009,26,0,108,20.9,NA,NA,NA
"135",7,"Chicago Blackhawks","300",2010,16,0,120,17.6,NA,NA,NA
"148",8,"Chicago Blackhawks","192",2004,-12,0,74,1,NA,NA,NA
"149",8,"Chicago Blackhawks","200",2002,2,0,72,13.3,32.4,NA,NA
"150",8,"Chicago Blackhawks","218",2003,9,0,78,6.7,NA,NA,NA
"169",9,"Chicago Blackhawks","45",1991,NA,NA,NA,NA,NA,NA,NA
"235",12,"Chicago Blackhawks","168",2006,-6,0,67,3.1,NA,NA,NA
"276",14,"Chicago Blackhawks","205",2008,14,0,79,1.4,NA,NA,NA
"318",16,"Chicago Blackhawks","179",2007,7,0,69,-3.6,NA,NA,NA
"88",5,"Chicago Black Hawks","102",1995,NA,NA,NA,NA,NA,NA,NA
"89",5,"Chicago Black Hawks","61",1992,NA,NA,NA,NA,NA,NA,NA
"110",6,"Chicago Black Hawks","67",1993,NA,NA,NA,NA,NA,NA,NA
"111",6,"Chicago Black Hawks","80",1994,NA,NA,NA,NA,NA,NA,NA
"567",30,"Carolina Hurricanes ","100",2005,-9,90,52,-18.2,NA,NA,NA
"424",21,"Carolina Hurricanes","128",2003,23,47,67,-4.6,NA,NA,NA
"425",21,"Carolina Hurricanes","144",2006,44,63,72,0.5,NA,NA,NA
"426",21,"Carolina Hurricanes","156",2007,8,58,68,-7.5,NA,NA,NA
"427",21,"Carolina Hurricanes","177",2009,5,51,82,-4.6,NA,NA,NA
"446",22,"Carolina Hurricanes","168",2008,8,54,75,-11.5,NA,NA,NA
"464",23,"Carolina Hurricanes","169",2011,4,77,81,-4.4,NA,NA,NA
"479",24,"Carolina Hurricanes","162",2010,-9,80,75,-7.3,NA,NA,NA
"480",24,"Carolina Hurricanes","80",1999,NA,25,25.1,-13.4,NA,NA,NA
"518",26,"Carolina Hurricanes","103",2002,30,58,52,-5.4,34.3,NA,NA
"519",26,"Carolina Hurricanes","109",2004,-14,55,57,-13,NA,NA,NA
"520",26,"Carolina Hurricanes","162",2012,-4,68,85,-9.4,NA,NA,NA
"532",27,"Carolina Hurricanes","69.3",2000,NA,NA,NA,NA,NA,NA,NA
"533",27,"Carolina Hurricanes","79",2001,14,63,45.4,-2.4,31.5,20.2,"Decent arena lease. Team team horribly managed with weak fan support."
"445",22,"Calgary Flames ","116",2005,20,16,70,2.3,NA,NA,NA
"69",4,"Calgary Flames","52",1991,NA,NA,NA,NA,NA,NA,NA
"132",7,"Calgary Flames","55",1992,NA,NA,NA,NA,NA,NA,NA
"233",12,"Calgary Flames","245",2012,11,13,117,11,NA,NA,NA
"234",12,"Calgary Flames","52",1993,NA,NA,NA,NA,NA,NA,NA
"253",13,"Calgary Flames","206",2010,3,15,98,4.6,NA,NA,NA
"254",13,"Calgary Flames","220",2011,7,15,105,1.1,NA,NA,NA
"297",15,"Calgary Flames","203",2008,24,15,97,7.4,NA,NA,NA
"316",16,"Calgary Flames","200",2009,-2,15,95,-0.8,NA,NA,NA
"317",16,"Calgary Flames","50",1994,NA,NA,NA,NA,NA,NA,NA
"360",18,"Calgary Flames","164",2007,21,12,77,-0.7,NA,NA,NA
"383",19,"Calgary Flames","54",1996,NA,NA,NA,NA,NA,NA,NA
"384",19,"Calgary Flames","72",1997,NA,NA,NA,NA,NA,NA,NA
"400",20,"Calgary Flames","50",1995,NA,NA,NA,NA,NA,NA,NA
"498",25,"Calgary Flames","77.4",2000,NA,NA,NA,NA,NA,NA,NA
"499",25,"Calgary Flames","78",1999,NA,29,38.9,0.6,NA,NA,NA
"516",26,"Calgary Flames","135",2006,17,14,68,2.3,NA,NA,NA
"517",26,"Calgary Flames","82",2001,6,61,41.2,-2.3,26.5,11.2,"Team controls lease to rennovated arena. Well marketed for market size."
"545",28,"Calgary Flames","92",2002,11,55,46,2.3,27.8,NA,NA
"546",28,"Calgary Flames","94",2003,3,28,47,-3.7,NA,NA,NA
"547",28,"Calgary Flames","97",2004,3,20,51,-6,NA,NA,NA
"544",28,"Buffalo Sabres ","103",2005,8,49,51,-10.5,NA,NA,NA
"232",12,"Buffalo Sabres","55",1994,NA,NA,NA,NA,NA,NA,NA
"275",14,"Buffalo Sabres","60",1995,NA,NA,NA,NA,NA,NA,NA
"296",15,"Buffalo Sabres","65",1996,NA,NA,NA,NA,NA,NA,NA
"337",17,"Buffalo Sabres","149",2006,45,34,70,4.6,NA,NA,NA
"338",17,"Buffalo Sabres","37",1991,NA,NA,NA,NA,NA,NA,NA
"358",18,"Buffalo Sabres","39",1992,NA,NA,NA,NA,NA,NA,NA
"359",18,"Buffalo Sabres","74",1997,NA,NA,NA,NA,NA,NA,NA
"381",19,"Buffalo Sabres","162",2007,9,31,74,-4.9,NA,NA,NA
"382",19,"Buffalo Sabres","44",1993,NA,NA,NA,NA,NA,NA,NA
"421",21,"Buffalo Sabres","169",2008,4,30,76,-8.9,NA,NA,NA
"422",21,"Buffalo Sabres","169",2010,0,30,81,-7.9,NA,NA,NA
"423",21,"Buffalo Sabres","91",1999,NA,134,41.5,-1.3,NA,NA,NA
"442",22,"Buffalo Sabres","173",2011,2,46,87,-5.6,NA,NA,NA
"443",22,"Buffalo Sabres","175",2012,1,46,95,-10.4,NA,NA,NA
"444",22,"Buffalo Sabres","90.7",2000,NA,NA,NA,NA,NA,NA,NA
"461",23,"Buffalo Sabres","117",2002,20,69,56,-9.7,39.8,NA,NA
"462",23,"Buffalo Sabres","170",2009,1,29,79,-5.2,NA,NA,NA
"463",23,"Buffalo Sabres","97",2001,7,82,48.6,-10.1,32.4,19.3,"Team and new venue are highly leveraged. Owner has missed debt payments."
"559",29,"Buffalo Sabres","92",2003,-21,170,46,-11.5,NA,NA,NA
"560",29,"Buffalo Sabres","95",2004,3,53,50,-5,NA,NA,NA
"131",7,"Boston Bruins ","236",2005,6,51,95,2.3,NA,NA,NA
"23",2,"Boston Bruins","57.4",1991,NA,NA,NA,NA,NA,NA,NA
"24",2,"Boston Bruins","67",1992,NA,NA,NA,NA,NA,NA,NA
"25",2,"Boston Bruins","79",1993,NA,NA,NA,NA,NA,NA,NA
"26",2,"Boston Bruins","88",1994,NA,NA,NA,NA,NA,NA,NA
"43",3,"Boston Bruins","185",1999,NA,70,66.1,18,NA,NA,NA
"44",3,"Boston Bruins","197.3",2000,NA,NA,NA,NA,NA,NA,NA
"64",4,"Boston Bruins","106",1995,NA,NA,NA,NA,NA,NA,NA
"65",4,"Boston Bruins","111",1996,NA,NA,NA,NA,NA,NA,NA
"66",4,"Boston Bruins","130",1997,NA,NA,NA,NA,NA,NA,NA
"67",4,"Boston Bruins","217",2001,10,60,77.6,15.9,25.4,21.6,"Team owns new venue. Great cable deal."
"68",4,"Boston Bruins","230",2002,6,52,80,10.5,33.5,NA,NA
"85",5,"Boston Bruins","302",2010,11,40,110,2.6,NA,NA,NA
"86",5,"Boston Bruins","325",2011,8,35,125,2.7,NA,NA,NA
"87",5,"Boston Bruins","348",2012,7,32,129,14.2,NA,NA,NA
"107",6,"Boston Bruins","235",2006,0,51,86,4.8,NA,NA,NA
"108",6,"Boston Bruins","243",2003,6,49,87,6.7,NA,NA,NA
"109",6,"Boston Bruins","271",2009,3,44,108,11.6,NA,NA,NA
"128",7,"Boston Bruins","223",2004,-9,54,84,3,NA,NA,NA
"129",7,"Boston Bruins","243",2007,3,49,87,-0.6,NA,NA,NA
"130",7,"Boston Bruins","263",2008,8,46,97,-3,NA,NA,NA
"515",26,"Atlanta Thrashers ","106",2005,-4,67,59,0.9,NA,NA,NA
"497",25,"Atlanta Thrashers^^^","110",2004,-18,63,57,-1,NA,NA,NA
"295",15,"Atlanta Thrashers","138",2001,NA,44,59.9,15.9,20.6,25.1,"Strong sponsorship backing in new arena, but fan support questionable."
"379",19,"Atlanta Thrashers","134",2002,-3,45,58,6.6,24.7,NA,NA
"380",19,"Atlanta Thrashers","134",2003,0,39,58,2.9,NA,NA,NA
"514",26,"Atlanta Thrashers","148",2007,16,48,67,-6.5,NA,NA,NA
"531",27,"Atlanta Thrashers","158",2008,6,44,70,-6.1,NA,NA,NA
"556",29,"Atlanta Thrashers","128",2006,21,55,64,-5.4,NA,NA,NA
"557",29,"Atlanta Thrashers","135",2010,-5,48,71,-8,NA,NA,NA
"558",29,"Atlanta Thrashers","143",2009,-10,46,68,-1.8,NA,NA,NA
"22",2,"Anaheim Mighty Ducks","108",1995,NA,NA,NA,NA,NA,NA,NA
"106",6,"Anaheim Mighty Ducks","99",1996,NA,NA,NA,NA,NA,NA,NA
"127",7,"Anaheim Mighty Ducks","104",1997,NA,NA,NA,NA,NA,NA,NA
"274",14,"Anaheim Mighty Ducks","109",1999,NA,0,49.6,6.3,NA,NA,NA
