"","PlayerID","PlayerName","PlayerTrueName","League","TeamName3","Season","GameIDFound","Source","Season.Type"
"221",175,"Fortson","Fortson, Danny","NBA","SEA","2006-2007","Season Start","Basketball Value","Regular Season"
"222",176,"Wilkins","Wilkins, Damien","NBA","SEA","2006-2007","Season Start","Basketball Value","Regular Season"
"223",177,"D. Ewing","Ewing, Daniel","NBA","LAC","2006-2007","Season Start","Basketball Value","Regular Season"
"224",177,"Ewing","Ewing, Daniel","NBA","LAC","2006-2007","Season Start","Basketball Value","Regular Season"
"225",178,"Singleton","Singleton, James","NBA","LAC","2006-2007","Season Start","Basketball Value","Regular Season"
"226",180,"Radmanovic","Radmanovic, Vladimir","NBA","LAL","2006-2007","Season Start","Basketball Value","Regular Season"
"227",181,"Wilcox","Wilcox, Chris","NBA","SEA","2006-2007","Season Start","Basketball Value","Regular Season"
"228",183,"Rebraca","Rebraca, Zeljko","NBA","LAC","2006-2007","Season Start","Basketball Value","Regular Season"
"229",185,"Parker","Parker, William (Smush)","NBA","LAL","2006-2007","Season Start","Basketball Value","Regular Season"
"230",185,"W. Parker","Parker, William (Smush)","NBA","LAL","2006-2007","20061117TORLAL","Basketball Value","Regular Season"
"231",185,"S. Parker","Parker, William (Smush)","NBA","LAL","2006-2007","Season Start","Basketball Value","Regular Season"
"232",186,"Bryant","Bryant, Kobe","NBA","LAL","2006-2007","Season Start","Basketball Value","Regular Season"
"233",186,"K. Bryant","Bryant, Kobe","NBA","LAL","2006-2007","Season Start","Basketball Value","Regular Season"
"234",187,"Odom","Odom, Lamar","NBA","LAL","2006-2007","Season Start","Basketball Value","Regular Season"
"235",188,"Mihm","Mihm, Chris","NBA","LAL","2006-2007","Season Start","Basketball Value","Regular Season"
"236",189,"K. Brown","Brown, Kwame","NBA","LAL","2006-2007","Season Start","Basketball Value","Regular Season"
"237",189,"Brown","Brown, Kwame","NBA","LAL","2006-2007","Season Start","Basketball Value","Regular Season"
"238",190,"George","George, Devean","NBA","DAL","2006-2007","Season Start","Basketball Value","Regular Season"
"239",191,"Cook","Cook, Brian","NBA","LAL","2006-2007","Season Start","Basketball Value","Regular Season"
"240",192,"McKie","McKie, Aaron","NBA","LAL","2006-2007","Season Start","Basketball Value","Regular Season"
"241",193,"Vujacic","Vujacic, Sasha","NBA","LAL","2006-2007","Season Start","Basketball Value","Regular Season"
"242",194,"A. Bynum","Bynum, Andrew","NBA","LAL","2006-2007","Season Start","Basketball Value","Regular Season"
"243",194,"Bynum","Bynum, Andrew","NBA","LAL","2006-2007","Season Start","Basketball Value","Regular Season"
"244",196,"Williams","Williams, Jason","NBA","MIA","2006-2007","Season Start","Basketball Value","Regular Season"
"245",196,"J. Williams","Williams, Jason","NBA","MIA","2006-2007","Season Start","Basketball Value","Regular Season"
"246",197,"Gasol","Gasol, Pau","NBA","MEM","2006-2007","Season Start","Basketball Value","Regular Season"
"247",198,"Battier","Battier, Shane","NBA","HOU","2006-2007","Season Start","Basketball Value","Regular Season"
"248",199,"Wright","Wright, Lorenzen","NBA","ATL","2006-2007","Season Start","Basketball Value","Regular Season"
"249",199,"L. Wright","Wright, Lorenzen","NBA","ATL","2006-2007","Season Start","Basketball Value","Regular Season"
"250",200,"Walker","Walker, Antoine","NBA","MIA","2006-2007","Season Start","Basketball Value","Regular Season"
"251",200,"A. Walker","Walker, Antoine","NBA","MIA","2006-2007","Season Start","Basketball Value","Regular Season"
"252",201,"Haslem","Haslem, Udonis","NBA","MIA","2006-2007","Season Start","Basketball Value","Regular Season"
"253",202,"E. Jones","Jones, Eddie","NBA","MEM","2006-2007","Season Start","Basketball Value","Regular Season"
"254",202,"JonesOut","Jones, Eddie","NBA","MEM","2006-2007","20061101NYKMEM","Basketball Value","Regular Season"
"255",202,"Jones","Jones, Eddie","NBA","MIA","2006-2007","20070203MIAMIL","Basketball Value","Regular Season"
"256",203,"S. O'Neal","O'Neal, Shaquille","NBA","MIA","2006-2007","Season Start","Basketball Value","Regular Season"
"257",203,"O'Neal","O'Neal, Shaquille","NBA","MIA","2006-2007","Season Start","Basketball Value","Regular Season"
"258",204,"Wade","Wade, Dwayne","NBA","MIA","2006-2007","Season Start","Basketball Value","Regular Season"
"259",205,"D. Stoudamire","Stoudamire, Damon","NBA","MEM","2006-2007","Season Start","Basketball Value","Regular Season"
"260",205,"Stoudamire","Stoudamire, Damon","NBA","MEM","2006-2007","Season Start","Basketball Value","Regular Season"
"261",206,"Mourning","Mourning, Alonzo","NBA","MIA","2006-2007","Season Start","Basketball Value","Regular Season"
"262",207,"Payton","Payton, Gary","NBA","MIA","2006-2007","Season Start","Basketball Value","Regular Season"
"263",208,"Tsakalidis","Tsakalidis, Jake","NBA","MEM","2006-2007","Season Start","Basketball Value","Regular Season"
"264",208,"Tsakalidis","Tsakalidis, Jake","NBA","HOU","2006-2007","20070225HOUORL","Basketball Value","Regular Season"
"265",209,"M. Miller","Miller, Mike","NBA","MEM","2006-2007","Season Start","Basketball Value","Regular Season"
"266",209,"Miller","Miller, Mike","NBA","MEM","2006-2007","Season Start","Basketball Value","Regular Season"
"267",210,"Jackson","Jackson, Bobby","NBA","NOK","2006-2007","20061101NOKBOS","Basketball Value","Regular Season"
"268",210,"B. Jackson","Jackson, Bobby","NBA","NOK","2006-2007","Season Start","Basketball Value","Regular Season"
"269",211,"Kapono","Kapono, Jason","NBA","MIA","2006-2007","Season Start","Basketball Value","Regular Season"
"270",212,"Jones","Jones, Dahntay","NBA","MEM","2006-2007","20061115MEMSAC","Basketball Value","Regular Season"
"271",212,"D. Jones","Jones, Dahntay","NBA","MEM","2006-2007","Season Start","Basketball Value","Regular Season"
"272",213,"Roberts","Roberts, Lawrence","NBA","MEM","2006-2007","Season Start","Basketball Value","Regular Season"
"273",214,"Wright","Wright, Dorell","NBA","MIA","2006-2007","Season Start","Basketball Value","Regular Season"
"274",214,"D. Wright","Wright, Dorell","NBA","MIA","2006-2007","Season Start","Basketball Value","Regular Season"
"275",215,"Barron","Barron, Earl","NBA","MIA","2006-2007","Season Start","Basketball Value","Regular Season"
"276",216,"Simien","Simien, Wayne","NBA","MIA","2006-2007","Season Start","Basketball Value","Regular Season"
"277",218,"Warrick","Warrick, Hakim","NBA","MEM","2006-2007","Season Start","Basketball Value","Regular Season"
"278",220,"Krstic","Krstic, Nenad","NBA","NJN","2006-2007","Season Start","Basketball Value","Regular Season"
"279",221,"Jefferson","Jefferson, Richard","NBA","NJN","2006-2007","Season Start","Basketball Value","Regular Season"
"280",221,"R. Jefferson","Jefferson, Richard","NBA","NJN","2006-2007","Season Start","Basketball Value","Regular Season"
"281",222,"Kidd","Kidd, Jason","NBA","NJN","2006-2007","Season Start","Basketball Value","Regular Season"
"282",223,"Collins","Collins, Jason","NBA","NJN","2006-2007","Season Start","Basketball Value","Regular Season"
"283",223,"J. Collins","Collins, Jason","NBA","NJN","2006-2007","Season Start","Basketball Value","Regular Season"
"284",224,"Carter","Carter, Vince","NBA","NJN","2006-2007","Season Start","Basketball Value","Regular Season"
"285",224,"V. Carter","Carter, Vince","NBA","NJN","2006-2007","Season Start","Basketball Value","Regular Season"
"286",226,"McInnis","McInnis, Jeff","NBA","CHA","2006-2007","20070105CHAORL","Basketball Value","Regular Season"
"287",226,"McInnis","McInnis, Jeff","NBA","NJN","2006-2007","Season Start","Basketball Value","Regular Season"
"288",228,"C. Robinson","Robinson, Clifford","NBA","NJN","2006-2007","Season Start","Basketball Value","Regular Season"
"289",228,"Robinson","Robinson, Clifford","NBA","NJN","2006-2007","Season Start","Basketball Value","Regular Season"
"290",229,"JacksonNotFirst","Jackson, Marc","NBA","NOK","2006-2007","20061118NOKMIN","Basketball Value","Regular Season"
"291",229,"M. Jackson","Jackson, Marc","NBA","NOK","2006-2007","Season Start","Basketball Value","Regular Season"
"292",231,"Vaughn","Vaughn, Jacque","NBA","SAS","2006-2007","Season Start","Basketball Value","Regular Season"
"293",232,"Padgett","Padgett, Scott","NBA","MEM","2006-2007","20070226DENMEM","Basketball Value","Regular Season"
"294",232,"Padgett","Padgett, Scott","NBA","HOU","2006-2007","Season Start","Basketball Value","Regular Season"
"295",235,"Curry","Curry, Eddy","NBA","NYK","2006-2007","Season Start","Basketball Value","Regular Season"
"296",236,"Blount","Blount, Mark","NBA","MIN","2006-2007","Season Start","Basketball Value","Regular Season"
"297",237,"Richardson","Richardson, Quentin","NBA","NYK","2006-2007","Season Start","Basketball Value","Regular Season"
"298",237,"Q. Richardson","Richardson, Quentin","NBA","NYK","2006-2007","Season Start","Basketball Value","Regular Season"
"299",238,"LaFrentz","LaFrentz, Raef","NBA","POR","2006-2007","Season Start","Basketball Value","Regular Season"
"300",239,"West","West, Delonte","NBA","BOS","2006-2007","Season Start","Basketball Value","Regular Season"
"301",239,"D. West","West, Delonte","NBA","BOS","2006-2007","Season Start","Basketball Value","Regular Season"
"302",240,"Pierce","Pierce, Paul","NBA","BOS","2006-2007","Season Start","Basketball Value","Regular Season"
"303",241,"Barnes","Barnes, Matt","NBA","GSW","2006-2007","Season Start","Basketball Value","Regular Season"
"304",243,"Davis","Davis, Ricky","NBA","MIN","2006-2007","Season Start","Basketball Value","Regular Season"
"305",243,"R. Davis","Davis, Ricky","NBA","MIN","2006-2007","Season Start","Basketball Value","Regular Season"
"306",243,"T. Davis","Davis, Ricky","NBA","MIN","2006-2007","20061125LACMIN","Basketball Value","Regular Season"
"307",244,"Marbury","Marbury, Stephon","NBA","NYK","2006-2007","Season Start","Basketball Value","Regular Season"
"308",245,"Ariza","Ariza, Trevor","NBA","ORL","2006-2007","Season Start","Basketball Value","Regular Season"
"309",246,"Gomes","Gomes, Ryan","NBA","BOS","2006-2007","Season Start","Basketball Value","Regular Season"
"310",247,"Jefferson","Jefferson, Al","NBA","BOS","2006-2007","Season Start","Basketball Value","Regular Season"
"311",247,"A. Jefferson","Jefferson, Al","NBA","BOS","2006-2007","Season Start","Basketball Value","Regular Season"
"312",248,"M. Taylor","Taylor, Maurice","NBA","SAC","2006-2007","Season Start","Basketball Value","Regular Season"
"313",248,"Taylor","Taylor, Maurice","NBA","SAC","2006-2007","Season Start","Basketball Value","Regular Season"
"314",249,"Crawford","Crawford, Jamal","NBA","NYK","2006-2007","Season Start","Basketball Value","Regular Season"
"315",250,"James","James, Jerome","NBA","NYK","2006-2007","Season Start","Basketball Value","Regular Season"
"316",250,"J. James","James, Jerome","NBA","NYK","2006-2007","Season Start","Basketball Value","Regular Season"
"317",251,"Greene","Greene, Orien","NBA","IND","2006-2007","Season Start","Basketball Value","Regular Season"
"318",252,"Scalabrine","Scalabrine, Brian","NBA","BOS","2006-2007","Season Start","Basketball Value","Regular Season"
"319",253,"Perkins","Perkins, Kendrick","NBA","BOS","2006-2007","Season Start","Basketball Value","Regular Season"
"320",254,"N. Robinson","Robinson, Nate","NBA","NYK","2006-2007","Season Start","Basketball Value","Regular Season"
"321",254,"Robinson","Robinson, Nate","NBA","NYK","2006-2007","Season Start","Basketball Value","Regular Season"
"322",255,"Rose","Rose, Malik","NBA","NYK","2006-2007","Season Start","Basketball Value","Regular Season"
"323",255,"M. Rose","Rose, Malik","NBA","NYK","2006-2007","Season Start","Basketball Value","Regular Season"
"324",256,"Reed","Reed, Justin","NBA","MIN","2006-2007","Season Start","Basketball Value","Regular Season"
"325",257,"Gooden","Gooden, Drew","NBA","CLE","2006-2007","Season Start","Basketball Value","Regular Season"
"326",258,"Ilgauskas","Ilgauskas, Zydrunas","NBA","CLE","2006-2007","Season Start","Basketball Value","Regular Season"
"327",260,"James","James, LeBron","NBA","CLE","2006-2007","Season Start","Basketball Value","Regular Season"
"328",260,"L. James","James, LeBron","NBA","CLE","2006-2007","Season Start","Basketball Value","Regular Season"
"329",261,"L. Hughes","Hughes, Larry","NBA","CLE","2006-2007","Season Start","Basketball Value","Regular Season"
"330",261,"Hughes","Hughes, Larry","NBA","CLE","2006-2007","Season Start","Basketball Value","Regular Season"
"331",262,"Snow","Snow, Eric","NBA","CLE","2006-2007","Season Start","Basketball Value","Regular Season"
"332",263,"Marshall","Marshall, Donyell","NBA","CLE","2006-2007","Season Start","Basketball Value","Regular Season"
"333",263,"D. Marshall","Marshall, Donyell","NBA","CLE","2006-2007","Season Start","Basketball Value","Regular Season"
"334",264,"Jones","Jones, Damon","NBA","CLE","2006-2007","20061101WASCLE","Basketball Value","Regular Season"
"335",264,"D. Jones","Jones, Damon","NBA","CLE","2006-2007","Season Start","Basketball Value","Regular Season"
"336",265,"Pavlovic","Pavlovic, Sasha","NBA","CLE","2006-2007","Season Start","Basketball Value","Regular Season"
"337",266,"Wilks","Wilks, Mike","NBA","SEA","2006-2007","Season Start","Basketball Value","Regular Season"
"338",267,"Henderson","Henderson, Alan","NBA","PHI","2006-2007","Season Start","Basketball Value","Regular Season"
"339",269,"Jackson","Jackson, Luke","NBA","TOR","2006-2007","20070401CHATOR","Basketball Value","Regular Season"
"340",269,"Jackson","Jackson, Luke","NBA","LAC","2006-2007","20070113CLELAC","Basketball Value","Regular Season"
"341",270,"Hamilton","Hamilton, Richard","NBA","DET","2006-2007","Season Start","Basketball Value","Regular Season"
"342",270,"R. Hamilton","Hamilton, Richard","NBA","DET","2006-2007","Season Start","Basketball Value","Regular Season"
"343",271,"Billups","Billups, Chauncey","NBA","DET","2006-2007","Season Start","Basketball Value","Regular Season"
"344",272,"Prince","Prince, Tayshaun","NBA","DET","2006-2007","Season Start","Basketball Value","Regular Season"
"345",273,"B. Wallace","Wallace, Ben","NBA","CHI","2006-2007","Season Start","Basketball Value","Regular Season"
"346",273,"Wallace","Wallace, Ben","NBA","CHI","2006-2007","Season Start","Basketball Value","Regular Season"
"347",274,"Wallace","Wallace, Rasheed","NBA","DET","2006-2007","20061101MILDET","Basketball Value","Regular Season"
"348",274,"R. Wallace","Wallace, Rasheed","NBA","DET","2006-2007","Season Start","Basketball Value","Regular Season"
"349",275,"McDyess","McDyess, Antonio","NBA","DET","2006-2007","Season Start","Basketball Value","Regular Season"
"350",276,"Evans","Evans, Maurice","NBA","LAL","2006-2007","Season Start","Basketball Value","Regular Season"
"351",276,"M. Evans","Evans, Maurice","NBA","LAL","2006-2007","Season Start","Basketball Value","Regular Season"
"352",277,"Arroyo","Arroyo, Carlos","NBA","ORL","2006-2007","Season Start","Basketball Value","Regular Season"
"353",278,"Milicic","Milicic, Darko","NBA","ORL","2006-2007","Season Start","Basketball Value","Regular Season"
"354",279,"Delfino","Delfino, Carlos","NBA","DET","2006-2007","Season Start","Basketball Value","Regular Season"
"355",280,"Maxiell","Maxiell, Jason","NBA","DET","2006-2007","Season Start","Basketball Value","Regular Season"
"356",281,"Williams","Williams, Louis","NBA","PHI","2006-2007","Season Start","Basketball Value","Regular Season"
"357",281,"L. Williams","Williams, Louis","NBA","PHI","2006-2007","Season Start","Basketball Value","Regular Season"
"358",283,"Jaric","Jaric, Marko","NBA","MIN","2006-2007","Season Start","Basketball Value","Regular Season"
"359",284,"Przybilla","Przybilla, Joel","NBA","POR","2006-2007","Season Start","Basketball Value","Regular Season"
"360",285,"Garnett","Garnett, Kevin","NBA","MIN","2006-2007","Season Start","Basketball Value","Regular Season"
"361",286,"Miles","Miles, Darius","NBA","POR","2006-2007","Season Start","Basketball Value","Regular Season"
"362",286,"D. Miles","Miles, Darius","NBA","POR","2006-2007","Season Start","Basketball Value","Regular Season"
"363",287,"Randolph","Randolph, Zach","NBA","POR","2006-2007","Season Start","Basketball Value","Regular Season"
"364",287,"Z. Randolph","Randolph, Zach","NBA","POR","2006-2007","Season Start","Basketball Value","Regular Season"
"365",288,"Szczerbiak","Szczerbiak, Wally","NBA","BOS","2006-2007","Season Start","Basketball Value","Regular Season"
"366",289,"Telfair","Telfair, Sebastian","NBA","BOS","2006-2007","Season Start","Basketball Value","Regular Season"
"367",290,"Olowokandi","Olowokandi, Michael","NBA","BOS","2006-2007","Season Start","Basketball Value","Regular Season"
"368",292,"Hassell","Hassell, Trenton","NBA","MIN","2006-2007","Season Start","Basketball Value","Regular Season"
"369",293,"McCants","McCants, Rashad","NBA","MIN","2006-2007","Season Start","Basketball Value","Regular Season"
"370",294,"Patterson","Patterson, Ruben","NBA","MIL","2006-2007","Season Start","Basketball Value","Regular Season"
"371",295,"Dixon","Dixon, Juan","NBA","TOR","2006-2007","20070224TORCHA","Basketball Value","Regular Season"
"372",295,"Dixon","Dixon, Juan","NBA","POR","2006-2007","Season Start","Basketball Value","Regular Season"
"373",296,"Jack","Jack, Jarrett","NBA","POR","2006-2007","Season Start","Basketball Value","Regular Season"
"374",297,"Ratliff","Ratliff, Theo","NBA","BOS","2006-2007","Season Start","Basketball Value","Regular Season"
"375",298,"Carter","Carter, Anthony","NBA","DEN","2006-2007","20070416MINDEN","Basketball Value","Regular Season"
"376",299,"E. Griffin","Griffin, Eddie","NBA","MIN","2006-2007","Season Start","Basketball Value","Regular Season"
"377",299,"Griffin","Griffin, Eddie","NBA","MIN","2006-2007","Season Start","Basketball Value","Regular Season"
"378",300,"Madsen","Madsen, Mark","NBA","MIN","2006-2007","Season Start","Basketball Value","Regular Season"
"379",302,"Yao","Ming, Yao","NBA","HOU","2006-2007","Season Start","Basketball Value","Regular Season"
"380",302,"Ming","Ming, Yao","NBA","HOU","2006-2007","Season Start","Basketball Value","Regular Season"
"381",304,"Howard","Howard, Juwan","NBA","HOU","2006-2007","Season Start","Basketball Value","Regular Season"
"382",304,"J. Howard","Howard, Juwan","NBA","HOU","2006-2007","Season Start","Basketball Value","Regular Season"
"383",305,"McGrady","McGrady, Tracy","NBA","HOU","2006-2007","Season Start","Basketball Value","Regular Season"
"384",306,"Swift","Swift, Stromile","NBA","MEM","2006-2007","Season Start","Basketball Value","Regular Season"
"385",306,"S. Swift","Swift, Stromile","NBA","MEM","2006-2007","Season Start","Basketball Value","Regular Season"
"386",307,"D. Anderson","Anderson, Derek","NBA","CHA","2006-2007","20070410MIACHA","Basketball Value","Regular Season"
"387",308,"Alston","Alston, Rafer","NBA","HOU","2006-2007","Season Start","Basketball Value","Regular Season"
"388",309,"Wesley","Wesley, David","NBA","CLE","2006-2007","Season Start","Basketball Value","Regular Season"
"389",312,"Mutombo","Mutombo, Dikembe","NBA","HOU","2006-2007","Season Start","Basketball Value","Regular Season"
"390",313,"Arenas","Arenas, Gilbert","NBA","WAS","2006-2007","Season Start","Basketball Value","Regular Season"
"391",314,"Rose","Rose, Jalen","NBA","PHX","2006-2007","20061108PHXSAS","Basketball Value","Regular Season"
"392",315,"Jeffries","Jeffries, Jared","NBA","NYK","2006-2007","Season Start","Basketball Value","Regular Season"
"393",316,"Jamison","Jamison, Antawn","NBA","WAS","2006-2007","Season Start","Basketball Value","Regular Season"
"394",317,"J. Graham","Graham, Joey","NBA","TOR","2006-2007","Season Start","Basketball Value","Regular Season"
"395",317,"Graham","Graham, Joey","NBA","TOR","2006-2007","Season Start","Basketball Value","Regular Season"
"396",318,"James","James, Mike","NBA","MIN","2006-2007","Season Start","Basketball Value","Regular Season"
"397",318,"M. James","James, Mike","NBA","MIN","2006-2007","Season Start","Basketball Value","Regular Season"
"398",319,"Bosh","Bosh, Chris","NBA","TOR","2006-2007","Season Start","Basketball Value","Regular Season"
"399",321,"A. Daniels","Daniels, Antonio","NBA","WAS","2006-2007","Season Start","Basketball Value","Regular Season"
"400",321,"Daniels","Daniels, Antonio","NBA","WAS","2006-2007","Season Start","Basketball Value","Regular Season"
"401",322,"Haywood","Haywood, Brendan","NBA","WAS","2006-2007","Season Start","Basketball Value","Regular Season"
"402",323,"Thomas","Thomas, Etan","NBA","WAS","2006-2007","Season Start","Basketball Value","Regular Season"
"403",323,"E. Thomas","Thomas, Etan","NBA","WAS","2006-2007","Season Start","Basketball Value","Regular Season"
"404",323,"D. Thomas","Thomas, Etan","NBA","WAS","2006-2007","20061202WASCHI","Basketball Value","Regular Season"
"405",324,"Butler","Butler, Caron","NBA","WAS","2006-2007","Season Start","Basketball Value","Regular Season"
"406",324,"J. Butler","Butler, Caron","NBA","WAS","2006-2007","20070112WASNOK","Basketball Value","Regular Season"
"407",324,"C. Butler","Butler, Caron","NBA","WAS","2006-2007","Season Start","Basketball Value","Regular Season"
"408",325,"Araujo","Araujo, Rafael","NBA","UTA","2006-2007","Season Start","Basketball Value","Regular Season"
"409",326,"Peterson","Peterson, Morris","NBA","TOR","2006-2007","Season Start","Basketball Value","Regular Season"
"410",327,"Villanueva","Villanueva, Charlie","NBA","MIL","2006-2007","Season Start","Basketball Value","Regular Season"
"411",328,"J. Hayes","Hayes, Jarvis","NBA","WAS","2006-2007","20061122WASHOU","Basketball Value","Regular Season"
"412",328,"Hayes","Hayes, Jarvis","NBA","WAS","2006-2007","Season Start","Basketball Value","Regular Season"
"413",329,"Ruffin","Ruffin, Michael","NBA","WAS","2006-2007","Season Start","Basketball Value","Regular Season"
"414",330,"Bonner","Bonner, Matt","NBA","SAS","2006-2007","Season Start","Basketball Value","Regular Season"
"415",331,"Calderon","Calderon, Jose","NBA","TOR","2006-2007","Season Start","Basketball Value","Regular Season"
"416",332,"Atkins","Atkins, Chucky","NBA","MEM","2006-2007","Season Start","Basketball Value","Regular Season"
"417",337,"A. Johnson","Johnson, Anthony","NBA","DAL","2006-2007","Season Start","Basketball Value","Regular Season"
"418",337,"Johnson","Johnson, Anthony","NBA","DAL","2006-2007","Season Start","Basketball Value","Regular Season"
"419",337,"A. Johnson","Johnson, Anthony","NBA","ATL","2006-2007","Transaction Li","Basketball Value","Regular Season"
"420",339,"Medvedenko","Medvedenko, Slava","NBA","ATL","2006-2007","20061229ATLHOU","Basketball Value","Regular Season"
"421",341,"Korolev","Korolev, Yaroslav","NBA","LAC","2006-2007","Season Start","Basketball Value","Regular Season"
"422",344,"Udrih","Udrih, Beno","NBA","SAS","2006-2007","Season Start","Basketball Value","Regular Season"
"423",348,"Hudson","Hudson, Troy","NBA","MIN","2006-2007","Season Start","Basketball Value","Regular Season"
"424",349,"Dupree","Dupree, Ronald","NBA","DET","2006-2007","Season Start","Basketball Value","Regular Season"
"425",350,"Potapenko","Potapenko, Vitaly","NBA","SAC","2006-2007","Season Start","Basketball Value","Regular Season"
"426",353,"Williams","Williams, Aaron","NBA","LAC","2006-2007","Season Start","Basketball Value","Regular Season"
"427",353,"A. Williams","Williams, Aaron","NBA","LAC","2006-2007","Season Start","Basketball Value","Regular Season"
"428",354,"T. Outlaw","Outlaw, Travis","NBA","POR","2006-2007","Season Start","Basketball Value","Regular Season"
"429",354,"Outlaw","Outlaw, Travis","NBA","POR","2006-2007","Season Start","Basketball Value","Regular Season"
"430",355,"Blake","Blake, Steve","NBA","MIL","2006-2007","Season Start","Basketball Value","Regular Season"
"431",355,"Blake","Blake, Steve","NBA","DEN","2006-2007","20070112HOUDEN","Basketball Value","Regular Season"
"432",356,"Webster","Webster, Martell","NBA","POR","2006-2007","Season Start","Basketball Value","Regular Season"
"433",357,"Watson","Watson, Earl","NBA","SEA","2006-2007","Season Start","Basketball Value","Regular Season"
"434",362,"Frye","Frye, Channing","NBA","NYK","2006-2007","Season Start","Basketball Value","Regular Season"
"435",366,"Bogans","Bogans, Keith","NBA","ORL","2006-2007","Season Start","Basketball Value","Regular Season"
"436",367,"Dickau","Dickau, Dan","NBA","POR","2006-2007","Season Start","Basketball Value","Regular Season"
"437",372,"Head","Head, Luther","NBA","HOU","2006-2007","Season Start","Basketball Value","Regular Season"
"438",373,"Booth","Booth, Calvin","NBA","WAS","2006-2007","Season Start","Basketball Value","Regular Season"
"439",377,"Lee","Lee, David","NBA","NYK","2006-2007","Season Start","Basketball Value","Regular Season"
